dataset_id,reference,species,notes,model,loglikelihood,ks_distance,diameter_min,diameter_max,functional_group,t,beta_t,shape,scale,sdlog,sigma_0,beta_sigma,width,common_name,family,label,link,digitised
70,Ali (2010),Acacia mangium,NA,gamma,-117.62866,0.16514114553066023,0.789812749,5.991513858,Broadleaves,26.862696984300243,-0.266675147,3.2714829221712245,NA,NA,NA,NA,NA,Mangium,Fabaceae,"Acacia mangium, Ali (2010)",https://academicjournals.org/article/article1380730680_Ali.pdf,TRUE
70,Ali (2010),Acacia mangium,NA,gumbel,-118.6143451,0.15853631515373395,0.789812749,5.991513858,Broadleaves,26.973931802980893,-0.263797873,NA,11.869662739583386,NA,NA,NA,NA,Mangium,Fabaceae,"Acacia mangium, Ali (2010)",https://academicjournals.org/article/article1380730680_Ali.pdf,TRUE
70,Ali (2010),Acacia mangium,NA,logistic,-119.517322,0.1479764654239282,0.789812749,5.991513858,Broadleaves,28.50063186,-0.330666415,NA,8.703319575925445,NA,NA,NA,NA,Mangium,Fabaceae,"Acacia mangium, Ali (2010)",https://academicjournals.org/article/article1380730680_Ali.pdf,TRUE
70,Ali (2010),Acacia mangium,NA,lognormal,-118.7883307,0.18672194926030788,0.789812749,5.991513858,Broadleaves,25.98675542927324,-0.19787895,NA,NA,0.6037639001582834,NA,NA,NA,Mangium,Fabaceae,"Acacia mangium, Ali (2010)",https://academicjournals.org/article/article1380730680_Ali.pdf,TRUE
70,Ali (2010),Acacia mangium,NA,normal_force,-120.2704569,0.1489348318116139,0.789812749,5.991513858,Broadleaves,12.411841359545717,0.3823035066228316,NA,NA,NA,57.72746335438671,-2,NA,Mangium,Fabaceae,"Acacia mangium, Ali (2010)",https://academicjournals.org/article/article1380730680_Ali.pdf,TRUE
70,Ali (2010),Acacia mangium,NA,normal_scaled,-117.9567829,0.1491558399817752,0.789812749,5.991513858,Broadleaves,28.32391484919344,-0.332450873,NA,NA,NA,14.171673187771296,-0.332450873,NA,Mangium,Fabaceae,"Acacia mangium, Ali (2010)",https://academicjournals.org/article/article1380730680_Ali.pdf,TRUE
70,Ali (2010),Acacia mangium,NA,normal_strength,-119.1864473,0.17084464623774054,0.789812749,5.991513858,Broadleaves,28.533976175037743,-0.349775241,NA,NA,NA,11.311111645598396,0,NA,Mangium,Fabaceae,"Acacia mangium, Ali (2010)",https://academicjournals.org/article/article1380730680_Ali.pdf,TRUE
70,Ali (2010),Acacia mangium,NA,uniform,-113.7399043,0.18293016255564257,0.789812749,5.991513858,Broadleaves,28.48172714093524,-0.11000447,NA,NA,NA,NA,NA,42.809352873317536,Mangium,Fabaceae,"Acacia mangium, Ali (2010)",https://academicjournals.org/article/article1380730680_Ali.pdf,TRUE
70,Ali (2010),Acacia mangium,NA,weibull,-116.7635446,0.14813853708879587,0.789812749,5.991513858,Broadleaves,27.908896951957313,-0.311341771,2.135606092232386,NA,NA,NA,NA,NA,Mangium,Fabaceae,"Acacia mangium, Ali (2010)",https://academicjournals.org/article/article1380730680_Ali.pdf,TRUE
70,Ali (2010),Acacia mangium,NA,lognormal_uncorrected,-118.7883307,0.18672194926030788,0.789812749,5.991513858,Broadleaves,21.65684515887603,-0.19787895,NA,NA,0.6037639001582834,NA,NA,NA,Mangium,Fabaceae,"Acacia mangium, Ali (2010)",https://academicjournals.org/article/article1380730680_Ali.pdf,TRUE
97,Lateh et al. (2014),Acacia mangium,NA,gamma,-530.3809579,0.051557144,0.111032028,2.581494662,Broadleaves,33.872230271707195,-0.593757974,3.195190413807099,NA,NA,NA,NA,NA,Mangium,Fabaceae,"Acacia mangium, Lateh et al. (2014)",https://www.doi.org/10.15580/GJBS.2014.2.012314056,TRUE
97,Lateh et al. (2014),Acacia mangium,NA,gumbel,-530.0237756,0.037501354,0.111032028,2.581494662,Broadleaves,33.65929971749598,-0.601843179,NA,14.239383763634988,NA,NA,NA,NA,Mangium,Fabaceae,"Acacia mangium, Lateh et al. (2014)",https://www.doi.org/10.15580/GJBS.2014.2.012314056,TRUE
97,Lateh et al. (2014),Acacia mangium,NA,logistic,-538.9184453,0.067290073,0.111032028,2.581494662,Broadleaves,31.609502552902978,-0.643975401,NA,9.949497522,NA,NA,NA,NA,Mangium,Fabaceae,"Acacia mangium, Lateh et al. (2014)",https://www.doi.org/10.15580/GJBS.2014.2.012314056,TRUE
97,Lateh et al. (2014),Acacia mangium,NA,lognormal,-535.7789479,0.080949539,0.111032028,2.581494662,Broadleaves,35.545370201868394,-0.514758842,NA,NA,0.6163105241491074,NA,NA,NA,Mangium,Fabaceae,"Acacia mangium, Lateh et al. (2014)",https://www.doi.org/10.15580/GJBS.2014.2.012314056,TRUE
97,Lateh et al. (2014),Acacia mangium,NA,normal_force,-604.5407897,0.1825143923333692,0.111032028,2.581494662,Broadleaves,34.17918533812262,-0.510425879,NA,NA,NA,20.90504085,-2,NA,Mangium,Fabaceae,"Acacia mangium, Lateh et al. (2014)",https://www.doi.org/10.15580/GJBS.2014.2.012314056,TRUE
97,Lateh et al. (2014),Acacia mangium,NA,normal_scaled,-542.2090211,0.095491745,0.111032028,2.581494662,Broadleaves,33.38654825309375,-0.645914009,NA,NA,NA,18.40286931941849,-0.645914009,NA,Mangium,Fabaceae,"Acacia mangium, Lateh et al. (2014)",https://www.doi.org/10.15580/GJBS.2014.2.012314056,TRUE
97,Lateh et al. (2014),Acacia mangium,NA,normal_strength,-576.6771675,0.11746758840859696,0.111032028,2.581494662,Broadleaves,31.801332306772473,-0.701405246,NA,NA,NA,29.568349909531054,0,NA,Mangium,Fabaceae,"Acacia mangium, Lateh et al. (2014)",https://www.doi.org/10.15580/GJBS.2014.2.012314056,TRUE
97,Lateh et al. (2014),Acacia mangium,NA,uniform,-567.3982181,0.3476376951158593,0.111032028,2.581494662,Broadleaves,49.60531652652064,-0.580471527,NA,NA,NA,NA,NA,95.61194785115418,Mangium,Fabaceae,"Acacia mangium, Lateh et al. (2014)",https://www.doi.org/10.15580/GJBS.2014.2.012314056,TRUE
97,Lateh et al. (2014),Acacia mangium,NA,weibull,-531.6206182,0.056520288,0.111032028,2.581494662,Broadleaves,33.636217442293336,-0.625671887,1.9090130409898245,NA,NA,NA,NA,NA,Mangium,Fabaceae,"Acacia mangium, Lateh et al. (2014)",https://www.doi.org/10.15580/GJBS.2014.2.012314056,TRUE
97,Lateh et al. (2014),Acacia mangium,NA,lognormal_uncorrected,-535.7789479,0.080949539,0.111032028,2.581494662,Broadleaves,29.39693988132839,-0.514758842,NA,NA,0.6163105241491074,NA,NA,NA,Mangium,Fabaceae,"Acacia mangium, Lateh et al. (2014)",https://www.doi.org/10.15580/GJBS.2014.2.012314056,TRUE
111,Osman et al. (2011),Acacia mangium,NA,gamma,-136.2498769,0.13524976066134986,0.791143911,5.986715867,Broadleaves,31.408729399529264,-0.40362786,3.974389955391499,NA,NA,NA,NA,NA,Mangium,Fabaceae,"Acacia mangium, Osman et al. (2011)",http://www.ukm.edu.my/jsm/pdf_files/SM-PDF-40-6-2011/07%20Mormaniza.pdf,TRUE
111,Osman et al. (2011),Acacia mangium,NA,gumbel,-137.1650293,0.13443213543606247,0.791143911,5.986715867,Broadleaves,31.46718894,-0.391771082,NA,12.836124646801675,NA,NA,NA,NA,Mangium,Fabaceae,"Acacia mangium, Osman et al. (2011)",http://www.ukm.edu.my/jsm/pdf_files/SM-PDF-40-6-2011/07%20Mormaniza.pdf,TRUE
111,Osman et al. (2011),Acacia mangium,NA,logistic,-137.5432285,0.12104655583064676,0.791143911,5.986715867,Broadleaves,31.677083606112955,-0.405546564,NA,8.696830815139055,NA,NA,NA,NA,Mangium,Fabaceae,"Acacia mangium, Osman et al. (2011)",http://www.ukm.edu.my/jsm/pdf_files/SM-PDF-40-6-2011/07%20Mormaniza.pdf,TRUE
111,Osman et al. (2011),Acacia mangium,NA,lognormal,-137.8699961,0.14276029654438482,0.791143911,5.986715867,Broadleaves,32.15290381670394,-0.410068217,NA,NA,0.5470752320290172,NA,NA,NA,Mangium,Fabaceae,"Acacia mangium, Osman et al. (2011)",http://www.ukm.edu.my/jsm/pdf_files/SM-PDF-40-6-2011/07%20Mormaniza.pdf,TRUE
111,Osman et al. (2011),Acacia mangium,NA,normal_force,-141.4264436,0.15675958926916694,0.791143911,5.986715867,Broadleaves,13.46403216135298,0.3334181217045755,NA,NA,NA,54.94981174238912,-2,NA,Mangium,Fabaceae,"Acacia mangium, Osman et al. (2011)",http://www.ukm.edu.my/jsm/pdf_files/SM-PDF-40-6-2011/07%20Mormaniza.pdf,TRUE
111,Osman et al. (2011),Acacia mangium,NA,normal_scaled,-135.888895,0.12501382700549007,0.791143911,5.986715867,Broadleaves,31.590222930293244,-0.411316511,NA,NA,NA,14.347731246608523,-0.411316511,NA,Mangium,Fabaceae,"Acacia mangium, Osman et al. (2011)",http://www.ukm.edu.my/jsm/pdf_files/SM-PDF-40-6-2011/07%20Mormaniza.pdf,TRUE
111,Osman et al. (2011),Acacia mangium,NA,normal_strength,-137.0106871,0.10640808880250102,0.791143911,5.986715867,Broadleaves,34.36580989925904,-0.544899093,NA,NA,NA,10.87986556359539,0,NA,Mangium,Fabaceae,"Acacia mangium, Osman et al. (2011)",http://www.ukm.edu.my/jsm/pdf_files/SM-PDF-40-6-2011/07%20Mormaniza.pdf,TRUE
